Year,Scenario,Probability,Vehicle_Class,Chemistry,EOL_Volume
2022,S5,0.2047,Buses,NMC,1140
2023,S5,0.2047,Buses,LFP,1683
2023,S5,0.2047,Buses,NMC,2905
2024,S5,0.2047,Buses,LFP,3712
2024,S5,0.2047,Buses,NMC,5385
2025,S5,0.2047,Buses,LFP,6821
2025,S5,0.2047,Buses,NMC,8274
2026,S5,0.2047,Buses,LFP,11021
2026,S5,0.2047,Buses,NMC,11167
2027,S5,0.2047,Buses,LFP,16151
2027,S5,0.2047,Buses,NMC,13633
2028,S5,0.2047,Buses,LFP,21978
2028,S5,0.2047,Buses,NMC,15373
2029,S5,0.2047,Buses,LFP,28145
2029,S5,0.2047,Buses,NMC,16308
2030,S5,0.2047,Buses,LFP,34243
2030,S5,0.2047,Buses,NMC,16546
2031,S5,0.2047,Buses,LFP,39978
2031,S5,0.2047,Buses,NMC,16330
2032,S5,0.2047,Buses,LFP,45213
2032,S5,0.2047,Buses,NMC,15943
2033,S5,0.2047,Buses,LFP,49835
2033,S5,0.2047,Buses,NMC,15597
2034,S5,0.2047,Buses,LFP,53856
2034,S5,0.2047,Buses,NMC,15424
2035,S5,0.2047,Buses,LFP,57372
2035,S5,0.2047,Buses,NMC,15471
2021,S5,0.2047,Cars,LFP,315
2021,S5,0.2047,Cars,NMC,737
2022,S5,0.2047,Cars,LFP,2705
2022,S5,0.2047,Cars,NMC,5753
2023,S5,0.2047,Cars,LFP,10078
2023,S5,0.2047,Cars,NMC,18602
2024,S5,0.2047,Cars,LFP,26172
2024,S5,0.2047,Cars,NMC,41883
2025,S5,0.2047,Cars,LFP,55380
2025,S5,0.2047,Cars,NMC,76863
2026,S5,0.2047,Cars,LFP,102015
2026,S5,0.2047,Cars,NMC,123127
2027,S5,0.2047,Cars,LFP,169287
2027,S5,0.2047,Cars,NMC,178106
2028,S5,0.2047,Cars,LFP,258983
2028,S5,0.2047,Cars,NMC,237303
2029,S5,0.2047,Cars,LFP,370523
2029,S5,0.2047,Cars,NMC,295160
2030,S5,0.2047,Cars,LFP,500538
2030,S5,0.2047,Cars,NMC,346094
2031,S5,0.2047,Cars,LFP,643531
2031,S5,0.2047,Cars,NMC,385776
2032,S5,0.2047,Cars,LFP,793199
2032,S5,0.2047,Cars,NMC,412222
2033,S5,0.2047,Cars,LFP,942787
2033,S5,0.2047,Cars,NMC,425999
2034,S5,0.2047,Cars,LFP,1086358
2034,S5,0.2047,Cars,NMC,429902
2035,S5,0.2047,Cars,LFP,1219686
2035,S5,0.2047,Cars,NMC,428012
2021,S5,0.2047,Vans,LFP,28
2021,S5,0.2047,Vans,NMC,66
2022,S5,0.2047,Vans,LFP,242
2022,S5,0.2047,Vans,NMC,516
2023,S5,0.2047,Vans,LFP,897
2023,S5,0.2047,Vans,NMC,1653
2024,S5,0.2047,Vans,LFP,2298
2024,S5,0.2047,Vans,NMC,3653
2025,S5,0.2047,Vans,LFP,4762
